k,Silhouette Score
2,0.901206116562929
3,0.7113575571113264
4,0.41306348574793683
5,0.38984450547341015
6,0.39400553329208055
7,0.37471823060242243
8,0.3455266268906908
9,0.3475750675116397
10,0.3574257165722682
11,0.37885206573669933
12,0.37868126750147885
13,0.37542466335288316
14,0.3931643723296551
15,0.40253579820736407
16,0.37180788102121143
17,0.378746072518454
18,0.38263909984472033
19,0.3932086805570402
20,0.3974733759825456
21,0.41154450049029456
22,0.41289804341662933
23,0.40979719428982225
24,0.41352244443721303
25,0.4033498281552332
26,0.413256734278532
27,0.4129407534985863
28,0.40185975042242245
29,0.40883056080418767
30,0.41230161869236154
31,0.40870409594973717
32,0.3974072067285533
33,0.40728670427426705
34,0.4103604806925241
35,0.4042210319267262
36,0.4059481712092063
37,0.4085866147958219
38,0.4018589191818897
39,0.4103197192604979
